question_id,category,gold,qwen_choice,qwen_correct,gemini_choice,gemini_correct,jev_selected_model,jev_error,laya_selected_model,laya_error,jev_correct,laya_correct,oracle_correct
136,business,H,H,True,G,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
174,business,F,F,True,C,False,qwen/qwen3.5-9b,,qwen/qwen3.5-9b,,True,True,True
181,business,G,G,True,G,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
188,business,I,I,True,I,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
226,business,H,H,True,F,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
247,business,F,F,True,F,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
281,business,J,J,True,B,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
293,business,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
334,business,F,F,True,F,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
369,business,C,C,True,C,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
391,business,D,D,True,D,True,google/gemini-2.5-flash-lite,,qwen/qwen3.5-9b,,True,True,True
450,business,H,H,True,H,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
470,business,B,,False,C,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
474,business,A,,False,B,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
609,business,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
621,business,G,G,True,C,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
628,business,B,B,True,A,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
688,business,C,F,False,F,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
725,business,H,H,True,H,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
761,business,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
904,law,A,A,True,B,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
937,law,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
973,law,H,H,True,H,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
975,law,D,,False,B,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
1120,law,B,,False,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
1244,law,G,,False,J,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
1320,law,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
1339,law,A,,False,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
1340,law,I,,False,I,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
1359,law,A,,False,E,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
1445,law,D,,False,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
1470,law,E,,False,D,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
1520,law,H,,False,F,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
1591,law,B,,False,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
1661,law,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
1663,law,J,J,True,J,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
1767,law,C,C,True,C,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
1770,law,D,,False,J,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
1804,law,H,,False,H,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
1918,law,H,,False,J,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
2014,psychology,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2015,psychology,J,J,True,J,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2107,psychology,C,C,True,C,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2117,psychology,F,F,True,F,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2234,psychology,C,C,True,C,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2245,psychology,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2258,psychology,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2286,psychology,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2294,psychology,F,,False,D,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
2313,psychology,E,E,True,E,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2333,psychology,E,A,False,C,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
2375,psychology,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2438,psychology,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2469,psychology,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2480,psychology,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2490,psychology,C,C,True,C,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2597,psychology,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2693,psychology,G,G,True,G,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2710,psychology,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2782,psychology,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2811,biology,F,F,True,F,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2845,biology,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2867,biology,H,H,True,H,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2872,biology,A,A,True,G,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
2883,biology,E,E,True,E,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
2910,biology,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
3177,biology,G,G,True,G,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
3233,biology,F,G,False,F,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
3278,biology,F,F,True,F,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
3327,biology,G,G,True,G,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
3332,biology,D,,False,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
3336,biology,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
3340,biology,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
3374,biology,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
3428,biology,J,J,True,J,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
3469,biology,C,C,True,C,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
3495,biology,D,G,False,G,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
3497,biology,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
3512,biology,I,,False,I,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
3513,biology,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
3562,chemistry,C,,False,C,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
3568,chemistry,I,I,True,I,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
3650,chemistry,C,,False,F,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
3668,chemistry,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
3771,chemistry,A,A,True,E,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
3806,chemistry,H,,False,H,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
3823,chemistry,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
3843,chemistry,G,,False,F,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
3847,chemistry,F,,False,D,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
3895,chemistry,E,,False,E,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
3900,chemistry,C,,False,F,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
3925,chemistry,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
3949,chemistry,H,H,True,H,True,qwen/qwen3.5-9b,,qwen/qwen3.5-9b,,True,True,True
4028,chemistry,H,H,True,H,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
4103,chemistry,H,,False,E,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
4169,chemistry,F,,False,F,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
4171,chemistry,F,,False,H,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
4374,chemistry,B,B,True,H,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
4555,chemistry,H,,False,H,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
4630,chemistry,G,G,True,D,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
4677,history,H,,False,H,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
