question_id,category,gold,first_model,first_choice,first_correct,second_model,second_choice,second_correct,jev_selected_model,jev_error,laya_selected_model,laya_error,jev_correct,laya_correct,oracle_correct
136,business,H,openai/gpt-4.1-mini,G,False,google/gemini-2.5-flash-lite,G,False,openai/gpt-4.1-mini,,openai/gpt-4.1-mini,,False,False,False
174,business,F,openai/gpt-4.1-mini,G,False,google/gemini-2.5-flash-lite,C,False,openai/gpt-4.1-mini,,google/gemini-2.5-flash-lite,,False,False,False
181,business,G,openai/gpt-4.1-mini,A,False,google/gemini-2.5-flash-lite,G,True,openai/gpt-4.1-mini,,google/gemini-2.5-flash-lite,,False,True,True
188,business,I,openai/gpt-4.1-mini,H,False,google/gemini-2.5-flash-lite,I,True,openai/gpt-4.1-mini,,openai/gpt-4.1-mini,,False,False,True
226,business,H,openai/gpt-4.1-mini,D,False,google/gemini-2.5-flash-lite,F,False,openai/gpt-4.1-mini,,openai/gpt-4.1-mini,,False,False,False
247,business,F,openai/gpt-4.1-mini,D,False,google/gemini-2.5-flash-lite,E,False,openai/gpt-4.1-mini,,google/gemini-2.5-flash-lite,,False,False,False
281,business,J,openai/gpt-4.1-mini,B,False,google/gemini-2.5-flash-lite,B,False,openai/gpt-4.1-mini,,openai/gpt-4.1-mini,,False,False,False
293,business,D,openai/gpt-4.1-mini,D,True,google/gemini-2.5-flash-lite,D,True,openai/gpt-4.1-mini,,openai/gpt-4.1-mini,,True,True,True
334,business,F,openai/gpt-4.1-mini,G,False,google/gemini-2.5-flash-lite,F,True,openai/gpt-4.1-mini,,openai/gpt-4.1-mini,,False,False,True
369,business,C,openai/gpt-4.1-mini,C,True,google/gemini-2.5-flash-lite,C,True,openai/gpt-4.1-mini,,openai/gpt-4.1-mini,,True,True,True
391,business,D,openai/gpt-4.1-mini,D,True,google/gemini-2.5-flash-lite,D,True,openai/gpt-4.1-mini,,google/gemini-2.5-flash-lite,,True,True,True
450,business,H,openai/gpt-4.1-mini,F,False,google/gemini-2.5-flash-lite,H,True,openai/gpt-4.1-mini,,openai/gpt-4.1-mini,,False,False,True
470,business,B,openai/gpt-4.1-mini,D,False,google/gemini-2.5-flash-lite,C,False,openai/gpt-4.1-mini,,openai/gpt-4.1-mini,,False,False,False
474,business,A,openai/gpt-4.1-mini,H,False,google/gemini-2.5-flash-lite,B,False,openai/gpt-4.1-mini,,google/gemini-2.5-flash-lite,,False,False,False
609,business,D,openai/gpt-4.1-mini,D,True,google/gemini-2.5-flash-lite,D,True,openai/gpt-4.1-mini,,openai/gpt-4.1-mini,,True,True,True
621,business,G,openai/gpt-4.1-mini,D,False,google/gemini-2.5-flash-lite,C,False,openai/gpt-4.1-mini,,openai/gpt-4.1-mini,,False,False,False
628,business,B,openai/gpt-4.1-mini,B,True,google/gemini-2.5-flash-lite,A,False,openai/gpt-4.1-mini,,openai/gpt-4.1-mini,,True,True,True
688,business,C,openai/gpt-4.1-mini,C,True,google/gemini-2.5-flash-lite,F,False,openai/gpt-4.1-mini,,openai/gpt-4.1-mini,,True,True,True
725,business,H,openai/gpt-4.1-mini,A,False,google/gemini-2.5-flash-lite,H,True,openai/gpt-4.1-mini,,openai/gpt-4.1-mini,,False,False,True
761,business,A,openai/gpt-4.1-mini,A,True,google/gemini-2.5-flash-lite,A,True,openai/gpt-4.1-mini,,openai/gpt-4.1-mini,,True,True,True
904,law,A,openai/gpt-4.1-mini,A,True,google/gemini-2.5-flash-lite,A,True,openai/gpt-4.1-mini,,google/gemini-2.5-flash-lite,,True,True,True
937,law,D,openai/gpt-4.1-mini,D,True,google/gemini-2.5-flash-lite,D,True,openai/gpt-4.1-mini,,google/gemini-2.5-flash-lite,,True,True,True
973,law,H,openai/gpt-4.1-mini,H,True,google/gemini-2.5-flash-lite,H,True,openai/gpt-4.1-mini,,google/gemini-2.5-flash-lite,,True,True,True
975,law,D,openai/gpt-4.1-mini,D,True,google/gemini-2.5-flash-lite,B,False,openai/gpt-4.1-mini,,google/gemini-2.5-flash-lite,,True,False,True
1120,law,B,openai/gpt-4.1-mini,B,True,google/gemini-2.5-flash-lite,B,True,openai/gpt-4.1-mini,,google/gemini-2.5-flash-lite,,True,True,True
1244,law,G,openai/gpt-4.1-mini,A,False,google/gemini-2.5-flash-lite,J,False,openai/gpt-4.1-mini,,openai/gpt-4.1-mini,,False,False,False
1320,law,A,openai/gpt-4.1-mini,A,True,google/gemini-2.5-flash-lite,A,True,openai/gpt-4.1-mini,,openai/gpt-4.1-mini,,True,True,True
